mmitzrach,mitzbsisi,mishkal,retention,ahuz,mida,kamut,is_visible
887,4449,26,,3.799999952316284,,,1
887,4497,4,,,,,1
888,881,750,803,,,,1
888,4440,27,,3.799999952316284,,,1
888,4497,4,,,,,1
900,895,500,,,,,1
900,4446,10,,3.299999952316284,700,1,1
900,4497,2,,,,,1
901,897,500,804,,,,1
901,1561,57,103,,,,1
901,1910,24,305,,,,1
901,1986,50,,,,,1
901,4449,13,,3.299999952316284,,1,1
922,9583,800,805,,700,1,1
924,883,800,805,,,,1
942,946,500,1805,,,,1
942,1561,57,103,,,,1
942,1910,30,301,,,,1
942,1986,50,1805,,,,1
942,4443,4,,1.399999976158142,700,1,1
942,4497,2,,,,,1
948,946,500,1805,,,,1
948,1561,57,103,,,,1
948,1910,30,301,,,,1
948,1986,50,1805,,,,1
948,4497,2.299999952316284,,,,,1
949,946,500,1805,,,,1
949,1561,57,103,,,,1
949,1910,30,301,,,,1
949,1986,50,1805,,,,1
949,4449,4,,1.399999976158142,,1,1
949,4497,2,,,,,1
951,946,500,1805,,,,1
951,1561,57,103,,,,1
951,1910,30,301,,,,1
951,1986,50,1805,,,,1
951,4440,4,,1.399999976158142,,1,1
951,4497,2,,,,,1
953,946,500,1805,,,,1
953,1561,57,103,,,,1
953,1910,30,301,,,,1
953,4446,4,,1.399999976158142,700,1,1
953,4497,2,,,,,1
955,946,500,1805,,,,1
955,1561,57,103,,,,1
955,1910,30,301,,,,1
955,1986,50,,,,,1
955,4446,4,,1.399999976158142,,1,1
955,4497,2.299999952316284,,,,,1
961,946,500,1851,,,,1
961,1706,11,,,,,1
961,3820,117,3465,,,,1
961,3837,332,3785,,,,1
961,4446,18,,2,,1,1
961,4497,5,,,,,1
964,946,500,1805,,,,1
964,4443,4,,1.200000047683716,,,1
964,4497,2,,,,,1
967,946,750,1805,,,,1
967,4449,6,,1.200000047683716,,1,1
967,4497,4,,,,,1
969,946,500,1805,,,,1
969,3820,117,3460,,,,1
969,4449,5,,1.200000047683716,,1,1
969,4497,3,,,,,1
972,986,750,1805,,,,1
972,4443,6,,1.200000047683716,,1,1
972,4497,4,,,,,1
982,981,400,1805,,,,1
982,4009,120,3780,,,,1
982,4497,1,,,700,1,1
984,629,400,601,,,,1
984,4009,120,3780,,,,1
984,4497,1,,,700,1,1
987,989,750,1805,,,,1
987,4443,40,,,,,1
987,4497,4,,,,,1
999,946,750,1852,,,,1
999,3716,100,,,,,1
999,4449,30,,,,,1
999,4497,5,,,,,1
999,4500,5,,,,,1
999,4949,100,,,,,1
1001,1000,400,,,,,1
1001,4009,92,,,,,1
1001,4497,1,,,700,1,1
1004,967,147,,,,,1
1004,1072,27,,,,,1
1004,4237,39,,,,,1
1004,4497,1,,,,,1
1006,946,600,1805,,,,1
1006,1708,30,,,,,1
1006,3414,30,,,,,1
1006,3820,117,3460,,,,1
1006,4443,30,,,,,1
1006,4497,4,,,,,1
1008,946,600,1805,,,,1
1008,1708,30,,,,,1
1008,3414,30,,,,,1
1008,3820,117,3460,,,,1
1008,4449,30,,,,,1
1008,4497,4,,,,,1
1039,1038,765,,,,,1
1039,1551,3,,,,,1
1039,2685,3,,,,,1
1039,3148,50,270,,,,1
1039,4497,4,,,,,1
1048,1049,400,1151,,,,1
1048,4443,21,,8,,1,1
1048,4497,2,,,,,1
1050,1049,320,1151,,,,1
1050,1561,57,103,,,,1
1050,1986,45,,,,,1
1050,4446,30,,,700,1,1
1050,4497,2,,,,,1
1051,1049,320,1151,,,,1
1051,1561,57,103,,,,1
1051,1910,50,305,,,,1
1051,1986,45,,,,,1
1051,4497,2,,,,,1
1054,1055,320,1511,,,,1
1054,1561,57,103,,,,1
1054,1910,50,305,,,,1
1054,1986,45,,,,,1
1054,4497,4,2,,,,1
1056,1055,320,1151,,,,1
1056,3820,117,3465,,,,1
1056,4446,23,,8,,1,1
1056,4497,4,,,,,1
1057,1055,320,1151,,,,1
1057,3820,117,3465,,,,1
1057,4449,23,,8,,1,1
1057,4497,3,,,,,1
1058,1055,320,1151,,,,1
1058,3820,162,3465,,,,1
1058,4443,25,,8,,1,1
1058,4497,3,,,,,1
1059,1055,320,1151,,,,1
1059,3820,117,3465,,,,1
1059,4440,23,,8,,1,1
1059,4497,4,,,,,1
1060,1055,320,1151,,,,1
1060,3820,117,3465,,,,1
1060,4451,23,,8,,1,1
1060,4497,4,,,,,1
1061,1055,400,1151,,,,1
1061,1910,10,305,,,,1
1061,3820,320,3465,,,,1
1061,4497,4,,,,,1
1061,8251,150,,,700,1,1
1069,1055,250,1151,,,,1
1069,1564,114,,,,,1
1069,3820,100,3465,,,,1
1069,4449,30,,,,,1
1069,4497,4,,,,,1
1073,800,400,803,,,,1
1073,4443,30,,,,,1
1073,4497,2,,,,,1
1074,800,400,803,,,,1
1074,4497,2,,,,,1
1085,1084,500,,,,,1
1085,3663,230,3751,,,,1
1085,3798,6,3456,,,,1
1085,3820,162,3456,,,,1
1085,4449,25,,3,,1,1
1085,4497,10,,,,,1
1089,1099,310,1659,,700,1,1
1089,4232,69,,,,,1
1089,4497,2,,,,,1
1090,1099,370,,,,,1
1090,1106,310,1655,,,,1
1090,3449,675,3309,,,,1
1090,3626,122,3460,,,,1
1090,3770,1120,,,,,1
1090,3798,12,3460,,,,1
1090,3820,150,3460,,,,1
1090,4449,50,,,,,1
1090,4497,15,,,,,1
1090,8251,500,,,700,1,1
1136,1134,750,2310,,700,1,1
1136,1561,57,103,,,,1
1136,1910,50,305,,,,1
1136,4449,50,,8,,1,1
1136,4497,4,,,,,1
1137,1134,750,2310,,,,1
1137,1561,57,103,,,,1
1137,1910,50,305,,,,1
1137,4440,68,,,,,1
1137,4497,4,,,,,1
1138,1134,750,2310,,,,1
1138,1561,57,103,,,,1
1138,1910,50,305,,,,1
1138,4497,4,,,,,1
1139,1134,500,2305,,,,1
1139,4449,30,,8,,,1
1140,1211,500,2310,,,,1
1140,1561,57,103,,,,1
1140,1986,45,305,,,,1
1140,3823,10,3004,,,,1
1140,4446,39,,8,,1,1
1140,4497,3,,,,,1
1141,1211,500,2310,,,,1
1141,1561,57,103,,,,1
1141,1986,45,305,,,,1
1141,3823,10,3004,,,,1
1141,4449,39,,8,,1,1
1141,4497,3,,,,,1
1142,1211,500,2310,,,,1
1142,1561,57,103,,,,1
1142,1910,15,302,,,,1
1142,1986,45,305,,,,1
1142,3663,500,3751,,,,1
1142,3716,30,,,,,1
1142,3798,10,3456,,,,1
1142,3820,25,3456,,,,1
1142,3823,10,3004,,,,1
1142,4449,77,,8,,1,1
1142,4497,7,,,,,1
1142,4500,5,,,,,1
1143,1271,500,2310,,,,1
1143,1561,57,103,,,,1
1143,1986,45,305,,,,1
1143,3823,10,3004,,,,1
1143,4497,3,,,,,1
1144,1271,500,2402,,,,1
1144,1561,57,105,,,,1
1144,1986,30,305,,700,1,1
1144,3663,320,3751,,,,1
1144,4449,64,,8,,1,1
1144,4497,5,,,,,1
1144,4949,100,,,,,1
1151,1561,57,103,,,,1
1151,1910,50,305,,,,1
1151,4497,4,,,,,1
1151,10117,750,2310,,700,1,1
1153,4497,4,,,,,1
1153,10117,750,2301,,700,1,1
1154,1561,57,103,,,,1
1154,1910,50,305,,,,1
1154,4449,50,,8,,1,1
1154,4497,4,,,,,1
1154,10117,750,2301,,700,1,1
1155,1561,57,103,,,,1
1155,1910,50,305,,,,1
1155,4443,50,,8,,1,1
1155,4497,4,,,,,1
1155,10117,750,2310,,700,1,1
1156,1561,57,103,,,,1
1156,1910,50,305,,,,1
1156,4446,50,,8,700,1,1
1156,4497,4,,,,,1
1156,10117,750,2310,,700,1,1
1158,3724,200,,,,,1
1158,3839,110,3776,,,,1
1158,4497,4,,,,,1
1158,10117,750,2301,,700,1,1
1159,3143,30,270,,,,1
1159,4449,18,,3,,1,1
1159,4497,3,,,,,1
1159,10117,750,2301,,700,1,1
1160,3143,30,270,,,,1
1160,4446,18,,3,,1,1
1160,4497,3,,,,,1
1160,10117,750,2301,,700,1,1
1161,1150,750,2301,,,1,1
1161,3115,60,,,700,60,1
1161,3798,6,3001,,1205,2,1
1161,3823,90,3001,,207,1.5,1
1161,3826,30,3001,,207,0.5,1
1161,4273,14,,,300,1,1
1161,4443,30,,,300,3,1
1161,4544,13,,,300,1,1
1161,4949,120,,,200,0.5,1
1163,3143,30,270,,,,1
1163,3798,6,3451,,,,1
1163,3823,20,3001,,,,1
1163,4443,45,,,,,1
1163,4497,4,,,,,1
1163,10119,750,2451,,,,1
1164,3143,30,270,,,,1
1164,4449,18,,3,,1,1
1164,4497,3,,,,,1
1164,10119,750,2451,,,,1
1166,1561,114,105,,,,1
1166,1958,60,,,,,1
1166,1986,30,,,,,1
1166,3626,200,3456,,,,1
1166,3820,150,3456,,,,1
1166,4449,107,,8,,1,1
1166,4497,8,,,,,1
1166,4500,15,,,,,1
1166,4949,100,,,,,1
1166,10119,1000,2552,,,,1
1168,1561,57,103,,,,1
1168,1910,50,305,,,,1
1168,1986,45,,,,,1
1168,4449,52,,8,,1,1
1168,4497,5,,,,,1
1168,10119,750,2460,,,,1
1180,1183,750,2301,,,,1
1180,3143,30,270,,,,1
1180,4449,45,,,,,1
1180,4497,3,,,,,1
1192,1190,750,2310,,,1,1
1192,1561,114,101,,,,1
1192,1910,36,305,,,,1
1192,1986,50,,,,,1
1192,4449,61,,8,,1,1
1192,4497,5,,,,,1
1193,1190,750,2301,,,,1
1193,3143,30,270,,,,1
1193,4397,30,,,,,1
1193,4497,3,,,,,1
1194,1190,750,2301,,,,1
1194,3143,30,270,,,,1
1194,4449,18,,3,,1,1
1194,4497,3,,,,,1
1195,1190,750,2301,,,,1
1195,1561,114,101,,,,1
1195,1910,48,301,,,,1
1195,4449,40,,,,,1
1195,4497,5,,,,,1
1196,1190,750,2310,,,,1
1196,1561,114,101,,,,1
1196,1910,36,305,,,,1
1196,1986,50,,,,,1
1196,4446,61,,8,,1,1
1196,4497,4,,,,,1
1197,1190,750,2310,,,1,1
1197,1561,114,101,,,,1
1197,1910,125,305,,200,1,1
1197,4449,63,,8,,,1
1197,4497,5,,,,,1
1201,1190,750,2401,,,1,1
1201,3663,320,3751,,,,1
1201,3798,6,3451,,,,1
1201,3837,110,3771,,,,1
1201,3839,110,3771,,,,1
1201,4446,45,,,,,1
1201,4497,7,,,,,1
1202,1297,750,2309,,,,1
1202,4446,6,,1,,1,1
1202,4497,2.5,,,400,0.5,1
1203,1190,750,2310,,,1,1
1203,1561,114,101,,,,1
1203,1910,36,305,,,,1
1203,1986,50,,,,,1
1203,4443,61,,8,,1,1
1203,4497,5,,,,,1
1204,1190,750,2310,,,,1
1204,1561,114,101,,,,1
1204,1910,125,305,,200,1,1
1204,4443,63,,8,,1,1
1204,4497,5,,,,,1
1205,1211,750,2310,,,,1
1205,1561,114,103,,,,1
1205,1910,50,,,,,1
1205,4497,5,,,,,1
